,created_at,text,user_id
98,Sat Mar 14 04:43:22 +0000 2020,RT @meaganmday: The ideas Bernie Sanders been pushing for decades now suddenly appear to many as the rational and humane course of action,770786909639610368
99,Sat Mar 14 04:43:22 +0000 2020,"hyunjae nakikita mo ba 'to halika dito virgo lumapit ka sakin hAHAHAHAHAHAHAHAHAHAHHAAHAHHAA""",1106683337094193153
100,Sat Mar 14 04:43:22 +0000 2020,RT @realDonaldTrump: I will be having a news conference today at 3:00 P.M.,88458875
101,Sat Mar 14 04:43:22 +0000 2020,RT @TomVadakkan2: Today ,44346105
102,Sat Mar 14 04:43:22 +0000 2020,RT @ElleKay_XO: Tomorrow is not promised,459241117
103,Sat Mar 14 04:43:22 +0000 2020,RT @flawlindss_: I found out today that my dog,1716449155
104,Sat Mar 14 04:43:22 +0000 2020,@Upson4WV I was at the local Wal-Mart today. No canned goods,749407163114778624
105,Sat Mar 14 04:43:22 +0000 2020,"RT @MegandaKa: It's today! Better avoid crowded places if gustong mag shopping. May online stores naman at naka 50% OFF pa.\ud83d\ude0d""",896626350538186752
106,Sat Mar 14 04:43:22 +0000 2020,"RT @PopSmokeCentral: Unreleased visual for the original version of \u201cMPR\u201d by Pop Smoke. Pop reportedly wanted to swap the beat out for an en\u2026""",550039001
107,Sat Mar 14 04:43:22 +0000 2020,"RT @ClintHilinski: Drawing at an unto here before unseen speed and velocity that mere paper and pen could not handle! Behold the future! Th\u2026""",2302154755
108,Sat Mar 14 04:43:22 +0000 2020,"RT @lookner: According to Worldometer the U.S. has added 769 cases today https:\/\/t.co\/juaiQsA8xO""",915785286466048000
109,Sat Mar 14 04:43:23 +0000 2020,RT @Piki_pictures: [#\uac9c\ucc98\ub3cc]\n\ud654\uc774\ud2b8\ub370\uc774\uc5d0 \uc120\ubb3c\ucc98\ub7fc \ucc3e\uc544\uc640 \uc6b0\ub2f9\ud0d5\ud0d5 \ub09c\uc7a5\ud310 \uccb4\ud5d8\ud558\uace0 \uac04 CIX!\n\uc7a0\uc2dc \ud6c4 \ubc24 10\uc2dc,710880792
110,Sat Mar 14 04:43:23 +0000 2020,"hello i know u expected a smut link but i just wanted to take this opportunity to say thank you and that youre fabu\u2026 https:\/\/t.co\/aSx6xuQ1N2""",806303342108389376
111,Sat Mar 14 04:43:23 +0000 2020,"Workin w\/ @__rolllex__\nBook Your Studio Session today!! $40hr (swp) w\/ ya boy engineer @buckbanditreno or\u2026 https:\/\/t.co\/vhR87KlSxU""",293228881
112,Sat Mar 14 04:43:23 +0000 2020,"RT @GIJoeMontana: Something very serious is going on. Four cases diagnosed in rural and landlocked Montana today.""",43802574
113,Sat Mar 14 04:43:23 +0000 2020,@Hairy_kari Forreal dude,1428801493
114,Sat Mar 14 04:43:23 +0000 2020,"RT @dlbrowning59: Today a veteran member of Phila SWAT was shot and killed while trying to serve a warrant on a criminal repeatedly set fre\u2026""",511250246
115,Sat Mar 14 04:43:23 +0000 2020,"RT @AutoTraderSA: The #AutoTraderCOTY2020 test days are here - stay tuned to our TL for some video action from Zwartkops Raceway - will be\u2026""",3172993089
116,Sat Mar 14 04:43:23 +0000 2020,@TheReunionVII omg. i got RedXIII for today.. sadly i haven\u2019t read any ff\u2019s that has RedXIII as a protagonist,521176369
117,Sat Mar 14 04:43:23 +0000 2020,"RT @xoxotmdxoxo: Interesting that a Chinese person would help Americans when most of y\u2019all are fucking assholes""",1344276595
