trip,Surprise,1
trophy,Surprise,1
trump,Surprise,1
tumult,Surprise,1
unanticipated,Surprise,1
unbeaten,Surprise,1
unbridled,Surprise,1
uncanny,Surprise,1
uncertain,Surprise,1
uncontrollable,Surprise,1
uncover,Surprise,1
underestimate,Surprise,1
undiscovered,Surprise,1
unexpected,Surprise,1
unexpectedly,Surprise,1
unforeseen,Surprise,1
unfulfilled,Surprise,1
unguarded,Surprise,1
unimaginable,Surprise,1
unintended,Surprise,1
unintentional,Surprise,1
unintentionally,Surprise,1
unique,Surprise,1
unprecedented,Surprise,1
unpredictable,Surprise,1
unstable,Surprise,1
unsuspecting,Surprise,1
urgency,Surprise,1
urgent,Surprise,1
vanish,Surprise,1
vanished,Surprise,1
variable,Surprise,1
veer,Surprise,1
veracity,Surprise,1
victimized,Surprise,1
violation,Surprise,1
violent,Surprise,1
visor,Surprise,1
volatility,Surprise,1
volcano,Surprise,1
vote,Surprise,1
warn,Surprise,1
warned,Surprise,1
weight,Surprise,1
whim,Surprise,1
wild,Surprise,1
wildfire,Surprise,1
winner,Surprise,1
winning,Surprise,1
wireless,Surprise,1
wizard,Surprise,1
wonderful,Surprise,1
wonderfully,Surprise,1
worm,Surprise,1
wreck,Surprise,1
yell,Surprise,1
yelp,Surprise,1
young,Surprise,1
youth,Surprise,1
zany,Surprise,1
zeal,Surprise,1
